,company,transmission,fuel,seller_type,owner,year,km_driven,selling_price
113,maruti wagon,Manual,Petrol,Individual,Fourth & Above Owner,2010,60000,100000
114,maruti sx4,Manual,Petrol,Individual,Third Owner,2011,110000,250000
115,renault kwid,Manual,Petrol,Individual,First Owner,2017,25000,350000
116,hyundai creta,Manual,Diesel,Individual,First Owner,2016,60000,780000
117,maruti swift,Manual,Diesel,Individual,Second Owner,2014,79350,434000
118,hyundai verna,Automatic,Petrol,Individual,First Owner,2016,80000,690000
119,mahindra scorpio,Manual,Diesel,Individual,Second Owner,2014,90000,555000
120,maruti sx4,Manual,Petrol,Individual,Second Owner,2007,90000,120000
121,maruti ertiga,Manual,Diesel,Individual,Second Owner,2014,120000,500000
122,chevrolet beat,Manual,Diesel,Individual,Second Owner,2013,60000,165000
123,maruti zen,Manual,Petrol,Individual,First Owner,2004,50000,95000
124,maruti baleno,Manual,Petrol,Individual,First Owner,2018,20000,550000
125,maruti swift,Manual,Diesel,Individual,Fourth & Above Owner,2007,110000,100000
126,tata nano,Manual,Petrol,Individual,Second Owner,2012,50000,100000
127,toyota innova,Manual,Diesel,Individual,First Owner,2012,100000,500000
128,maruti ertiga,Manual,Diesel,Individual,Second Owner,2016,70000,800000
129,hyundai creta,Manual,Diesel,Individual,Second Owner,2016,70000,840000
130,honda amaze,Manual,Petrol,Individual,First Owner,2016,50000,490000
131,tata indica,Manual,Diesel,Individual,Second Owner,2010,81000,125000
132,chevrolet tavera,Manual,Diesel,Individual,Third Owner,2012,120000,400000
133,chevrolet cruze,Manual,Diesel,Dealer,First Owner,2015,3600,1000000
134,ford figo,Manual,Petrol,Dealer,First Owner,2015,14272,530000
135,ford ecosport,Manual,Diesel,Dealer,First Owner,2017,49213,840000
136,hyundai i10,Manual,Petrol,Individual,First Owner,2015,40000,229999
137,maruti 800,Manual,Petrol,Individual,Fourth & Above Owner,1998,40000,40000
138,chevrolet spark,Manual,Petrol,Individual,First Owner,2012,80000,130000
139,hyundai eon,Manual,Petrol,Individual,First Owner,2015,70000,200000
140,tata indica,Manual,Diesel,Individual,First Owner,2011,70000,120000
141,hyundai santro,Manual,Petrol,Individual,First Owner,2003,57000,75000
142,tata bolt,Manual,Diesel,Individual,First Owner,2016,120000,250000
143,maruti 800,Manual,Petrol,Individual,First Owner,2005,30000,100000
144,hyundai eon,Manual,Petrol,Individual,Second Owner,2013,3240,280000
145,hyundai i20,Manual,Petrol,Individual,First Owner,2015,5000,540000
146,hyundai i20,Manual,Petrol,Individual,First Owner,2018,10000,700000
147,maruti ciaz,Manual,Diesel,Individual,First Owner,2015,100000,525000
148,hyundai i20,Manual,Diesel,Individual,First Owner,2016,80000,430000
149,hyundai santro,Manual,Petrol,Individual,First Owner,2002,70000,65000
150,maruti vitara,Manual,Diesel,Individual,First Owner,2018,35000,800000
151,hyundai santro,Manual,Petrol,Individual,Second Owner,2007,114000,75000
152,hyundai getz,Manual,Petrol,Individual,First Owner,2008,53772,210000
153,mahindra quanto,Manual,Diesel,Individual,Second Owner,2012,140000,195000
154,chevrolet tavera,Manual,Diesel,Individual,First Owner,2015,120000,400000
155,hyundai eon,Manual,Petrol,Individual,First Owner,2012,60000,170000
156,renault kwid,Manual,Petrol,Individual,First Owner,2016,25000,225000
157,maruti wagon,Manual,LPG,Individual,First Owner,2014,90000,210000
158,maruti wagon,Manual,Petrol,Individual,First Owner,2020,120000,240000
159,chevrolet enjoy,Manual,Diesel,Individual,First Owner,2015,175000,300000
160,chevrolet spark,Manual,Petrol,Individual,Third Owner,2011,100000,99000
161,honda city,Manual,Petrol,Individual,First Owner,2014,36000,620000
162,honda amaze,Manual,Diesel,Individual,First Owner,2013,30000,500000
163,jaguar xj,Automatic,Petrol,Individual,Second Owner,2010,40000,2550000
164,honda brio,Manual,Petrol,Individual,Second Owner,2013,70000,260000
165,maruti swift,Manual,Petrol,Individual,First Owner,2017,60000,550000
166,tata indigo,Manual,Diesel,Individual,First Owner,2011,155500,150000
167,hyundai i10,Automatic,Petrol,Individual,Second Owner,2011,50000,350000
168,chevrolet beat,Manual,Petrol,Individual,First Owner,2016,40000,320000
169,maruti swift,Manual,Diesel,Individual,Third Owner,2015,100000,400000
170,maruti alto,Manual,Petrol,Individual,Third Owner,2012,80000,175000
171,chevrolet beat,Manual,Petrol,Individual,Second Owner,2011,90000,120000
172,renault duster,Manual,Diesel,Individual,Second Owner,2013,90000,320000
173,hyundai santro,Manual,Petrol,Individual,Third Owner,2006,110000,70000
174,maruti swift,Manual,Petrol,Individual,First Owner,2019,15000,810000
175,maruti 800,Manual,Petrol,Individual,Second Owner,2007,100000,95000
176,maruti alto,Manual,CNG,Individual,First Owner,2020,40000,282000
177,maruti 800,Manual,Petrol,Individual,Second Owner,2004,60000,80000
178,tata nano,Manual,Petrol,Individual,First Owner,2013,25000,72000
179,hyundai i20,Manual,Petrol,Individual,First Owner,2016,25000,600000
180,skoda rapid,Manual,Petrol,Individual,First Owner,2015,23000,640000
181,maruti alto,Manual,Petrol,Individual,First Owner,2018,22155,380000
182,maruti ciaz,Manual,Petrol,Individual,First Owner,2018,70000,650000
183,maruti alto,Manual,Petrol,Individual,Second Owner,2009,60000,150000
184,hyundai i20,Manual,Petrol,Individual,Second Owner,2009,110000,280000
185,tata nexon,Manual,Petrol,Individual,First Owner,2018,30000,430000
186,mahindra bolero,Manual,Diesel,Individual,First Owner,2019,15000,800000
187,maruti zen,Manual,Diesel,Individual,Second Owner,2003,100000,75000
188,volkswagen vento,Automatic,Diesel,Individual,First Owner,2016,70000,650000
189,maruti eeco,Manual,Petrol,Individual,First Owner,2017,24000,390000
190,honda city,Manual,Petrol,Individual,Second Owner,2005,120000,100000
191,mercedes-benz new,Automatic,Diesel,Individual,First Owner,2013,35000,1500000
192,maruti sx4,Manual,Petrol,Individual,First Owner,2007,78380,175000
193,renault duster,Manual,Diesel,Individual,Second Owner,2012,110000,434999
194,ford figo,Manual,Diesel,Individual,Third Owner,2010,90000,170000
195,ford figo,Manual,Diesel,Individual,Third Owner,2011,90000,190000
196,maruti swift,Manual,Diesel,Individual,Third Owner,2009,150000,250000
197,mahindra xylo,Manual,Diesel,Individual,Third Owner,2009,230000,229999
198,maruti esteem,Manual,Petrol,Individual,Third Owner,2006,70000,140000
199,maruti swift,Manual,Diesel,Individual,First Owner,2017,80362,600000
200,hyundai i20,Manual,Petrol,Individual,Third Owner,2012,110000,280000
201,chevrolet beat,Manual,Diesel,Individual,First Owner,2012,60000,150000
202,chevrolet cruze,Automatic,Diesel,Individual,First Owner,2015,50000,650000
203,nissan micra,Manual,Petrol,Individual,Second Owner,2014,40000,210000
204,bmw 5,Automatic,Diesel,Individual,First Owner,2017,40000,2900000
205,chevrolet enjoy,Manual,Diesel,Dealer,First Owner,2013,20000,425000
206,hyundai eon,Manual,Petrol,Dealer,First Owner,2014,55000,265000
207,fiat linea,Manual,Petrol,Dealer,First Owner,2018,1136,890000
208,renault scala,Manual,Petrol,Dealer,First Owner,2013,55000,365000
209,ford figo,Manual,Petrol,Dealer,First Owner,2014,43000,350000
210,maruti ciaz,Manual,Diesel,Individual,First Owner,2016,60000,685000
211,skoda rapid,Manual,Diesel,Dealer,First Owner,2018,2650,940000
212,mahindra xuv500,Manual,Diesel,Individual,First Owner,2017,40000,1000000
213,mahindra xuv300,Manual,Petrol,Dealer,First Owner,2019,15000,1150000
214,maruti ertiga,Manual,Diesel,Individual,Second Owner,2016,115962,450000
215,nissan terrano,Manual,Diesel,Dealer,First Owner,2015,65000,590000
216,maruti s-cross,Manual,Diesel,Individual,First Owner,2017,40000,800000
217,hyundai i20,Manual,Diesel,Dealer,First Owner,2012,58000,385000
218,mercedes-benz new,Automatic,Diesel,Individual,First Owner,2013,15000,2000000
219,hyundai eon,Manual,Petrol,Dealer,First Owner,2012,54000,235000
220,volkswagen ameo,Manual,Diesel,Dealer,First Owner,2017,56000,640000
221,maruti alto,Manual,Petrol,Individual,Third Owner,2006,120000,52000
222,maruti omni,Manual,LPG,Individual,Second Owner,2009,90000,80000
223,maruti alto,Manual,Petrol,Individual,Second Owner,2012,70000,140000
224,hyundai verna,Manual,Petrol,Individual,Second Owner,2008,90000,120000
225,mahindra renault,Manual,Diesel,Individual,First Owner,2008,213000,89999
226,chevrolet optra,Manual,Diesel,Individual,First Owner,2012,120000,180000
227,mahindra scorpio,Manual,Diesel,Individual,First Owner,2017,20000,1500000
228,hyundai i20,Manual,Petrol,Individual,First Owner,2017,10000,700000
229,maruti sx4,Manual,Diesel,Individual,Second Owner,2012,80000,285000
230,hyundai grand,Manual,Petrol,Individual,First Owner,2015,90000,390000
231,maruti alto,Manual,Petrol,Individual,First Owner,2008,80000,125000
232,maruti sx4,Manual,Petrol,Individual,Second Owner,2008,60000,225000
233,hyundai i10,Manual,Petrol,Individual,Second Owner,2011,139000,175000
234,toyota innova,Manual,Diesel,Individual,Second Owner,2011,160000,1075000
235,honda mobilio,Manual,Diesel,Individual,First Owner,2014,150000,300000
236,toyota innova,Manual,Diesel,Individual,Fourth & Above Owner,2010,163000,700000
237,tata indica,Manual,Diesel,Dealer,First Owner,2009,120000,90000
238,tata indica,Manual,Diesel,Individual,Second Owner,2011,120000,120000
239,chevrolet beat,Manual,Diesel,Individual,Second Owner,2012,100000,220000
240,tata zest,Manual,Diesel,Dealer,First Owner,2015,140000,300000
241,skoda fabia,Manual,Diesel,Dealer,Second Owner,2010,87000,180000
242,maruti 800,Manual,Petrol,Individual,First Owner,2013,70000,170000
243,ford figo,Manual,Petrol,Individual,Second Owner,2015,50000,300000
244,toyota innova,Manual,Diesel,Individual,First Owner,2014,70000,1050000
245,honda mobilio,Manual,Diesel,Individual,First Owner,2014,150000,300000
246,hyundai grand,Manual,Diesel,Individual,First Owner,2018,25000,465000
247,chevrolet beat,Manual,Diesel,Individual,Second Owner,2011,80000,130000
248,datsun go,Manual,Petrol,Individual,First Owner,2018,10000,434999
249,hyundai grand,Manual,Petrol,Individual,First Owner,2018,32000,500000
250,maruti omni,Manual,Petrol,Individual,First Owner,2018,10000,200000
251,maruti baleno,Manual,Petrol,Dealer,First Owner,2017,52000,625000
252,ford fiesta,Manual,Diesel,Individual,Third Owner,2006,120000,110000
253,hyundai elite,Manual,Petrol,Individual,First Owner,2019,11240,800000
254,hyundai grand,Manual,Diesel,Dealer,First Owner,2017,66000,490000
255,maruti ertiga,Manual,Diesel,Dealer,First Owner,2017,64000,880000
256,hyundai santro,Manual,Petrol,Individual,First Owner,2013,49000,290000
257,tata sumo,Manual,Diesel,Individual,Second Owner,2006,100000,115999
258,renault kwid,Manual,Petrol,Individual,First Owner,2018,26500,360000
259,maruti 800,Manual,Petrol,Individual,Second Owner,2002,100000,65000
260,maruti vitara,Manual,Diesel,Dealer,First Owner,2017,72000,685000
261,honda jazz,Manual,Petrol,Individual,First Owner,2009,50000,300000
262,hyundai i20,Manual,Diesel,Dealer,First Owner,2017,44000,680000
263,maruti ertiga,Manual,Diesel,Individual,Second Owner,2017,60000,1000000
264,tata sumo,Manual,Diesel,Individual,First Owner,2002,120000,100000
265,mahindra xylo,Manual,Diesel,Individual,First Owner,2010,130000,160000
266,maruti swift,Manual,Diesel,Individual,First Owner,2017,70000,450000
267,maruti ertiga,Manual,Petrol,Individual,First Owner,2014,20000,600000
268,hyundai i20,Manual,Diesel,Individual,Second Owner,2009,60000,180000
269,maruti alto,Manual,Petrol,Individual,First Owner,2007,195000,100000
270,maruti alto,Manual,Petrol,Individual,Second Owner,2010,90000,120000
271,hyundai getz,Manual,Petrol,Individual,Third Owner,2006,80000,130000
272,maruti wagon,Manual,Petrol,Individual,First Owner,2011,155000,160000
273,mahindra bolero,Manual,Diesel,Individual,First Owner,2019,35000,860000
274,hyundai i20,Manual,Petrol,Individual,Second Owner,2018,20000,650000
275,maruti wagon,Manual,Petrol,Individual,Second Owner,2010,80000,100000
276,maruti alto,Manual,Petrol,Individual,First Owner,2017,20000,282000
277,hyundai i20,Manual,Petrol,Individual,First Owner,2009,50000,300000
278,hyundai i20,Manual,Petrol,Individual,Second Owner,2010,110000,270000
279,hyundai verna,Manual,Diesel,Individual,First Owner,2013,29000,550000
280,mahindra xylo,Manual,Diesel,Individual,First Owner,2013,120000,450000
281,mahindra bolero,Manual,Diesel,Individual,Second Owner,2011,70000,430000
282,maruti ertiga,Manual,Petrol,Individual,First Owner,2013,40000,350000
283,honda brio,Manual,Petrol,Individual,First Owner,2017,20000,350000
284,toyota etios,Manual,Petrol,Individual,Second Owner,2013,50000,229999
285,maruti alto,Manual,Petrol,Individual,First Owner,2013,50000,110000
286,maruti swift,Manual,Petrol,Individual,Second Owner,2012,49000,395000
287,mahindra scorpio,Automatic,Diesel,Individual,Second Owner,2011,70000,650000
288,mahindra bolero,Manual,Diesel,Individual,Second Owner,2011,90000,350000
289,mahindra xuv500,Manual,Diesel,Dealer,First Owner,2020,25000,1400000
290,tata tiago,Manual,Petrol,Individual,First Owner,2018,4000,360000
291,mahindra marazzo,Manual,Diesel,Individual,First Owner,2018,10000,1300000
292,renault duster,Manual,Diesel,Individual,First Owner,2015,15000,800000
293,hyundai eon,Manual,Petrol,Individual,First Owner,2018,30000,229999
294,maruti wagon,Manual,Petrol,Dealer,First Owner,2014,41000,315000
295,chevrolet spark,Manual,Petrol,Individual,First Owner,2012,28000,125000
296,maruti baleno,Manual,Petrol,Individual,First Owner,2019,16000,700000
297,hyundai eon,Manual,Petrol,Individual,First Owner,2015,70000,160000
298,ford figo,Manual,Petrol,Dealer,First Owner,2017,10832,530000
299,ford figo,Manual,Diesel,Dealer,First Owner,2018,14681,624000
300,hyundai i10,Manual,Petrol,Individual,First Owner,2009,50000,250000
301,mahindra bolero,Manual,Diesel,Dealer,First Owner,2016,51000,585000
302,hyundai verna,Manual,Petrol,Individual,First Owner,2015,25000,500000
303,chevrolet sail,Manual,Petrol,Individual,First Owner,2014,30000,350000
304,honda city,Manual,Diesel,Dealer,First Owner,2014,80000,495000
305,hyundai grand,Manual,Petrol,Individual,First Owner,2017,50000,500000
306,mahindra bolero,Manual,Diesel,Individual,First Owner,2015,200000,430000
307,hyundai grand,Manual,Petrol,Dealer,First Owner,2013,44000,345000
308,maruti baleno,Manual,Petrol,Individual,First Owner,2015,10000,500000
309,tata tiago,Manual,Petrol,Individual,First Owner,2019,19600,425000
310,maruti wagon,Manual,Petrol,Individual,Second Owner,2005,40000,80000
311,chevrolet beat,Manual,Diesel,Individual,First Owner,2011,50000,106000
312,maruti a-star,Manual,Petrol,Individual,First Owner,2009,46730,180000
313,datsun go,Manual,Petrol,Individual,Second Owner,2015,40000,250000
314,skoda yeti,Manual,Diesel,Individual,First Owner,2011,80000,350000
315,maruti zen,Manual,Petrol,Individual,Second Owner,2002,80000,60000
316,hyundai verna,Manual,Diesel,Individual,First Owner,2018,24000,900000
317,ford aspire,Manual,Diesel,Dealer,First Owner,2017,21170,700000
318,bmw 3,Automatic,Diesel,Dealer,First Owner,2013,167223,2000000
319,maruti ertiga,Manual,Diesel,Individual,First Owner,2017,40000,1000000
320,bmw x1,Automatic,Diesel,Individual,First Owner,2011,60000,1375000
321,toyota innova,Manual,Diesel,Dealer,First Owner,2016,141440,1800000
322,chevrolet tavera,Manual,Diesel,Individual,Third Owner,2007,120000,160000
323,mitsubishi outlander,Automatic,Petrol,Individual,First Owner,2012,140000,525000
324,mahindra xuv500,Manual,Diesel,Dealer,First Owner,2012,212814,850000
325,maruti baleno,Manual,Diesel,Individual,First Owner,2019,30000,800000
326,ford figo,Manual,Diesel,Dealer,First Owner,2017,88635,700000
327,maruti swift,Manual,Diesel,Individual,First Owner,2018,25000,800000
328,hyundai i20,Manual,Petrol,Individual,Second Owner,2017,20000,575000
329,renault duster,Manual,Diesel,Individual,Second Owner,2012,110000,350000
330,maruti swift,Manual,Diesel,Individual,Third Owner,2008,120000,250000
331,ford endeavour,Manual,Diesel,Dealer,Second Owner,2011,149674,600000
332,mahindra scorpio,Manual,Diesel,Individual,Third Owner,2007,100000,370000
333,maruti baleno,Manual,Petrol,Individual,Third Owner,2006,120000,80000
334,tata indica,Manual,Diesel,Individual,Second Owner,2003,120000,50000
335,hyundai verna,Manual,Diesel,Individual,First Owner,2018,25000,900000
336,maruti wagon,Manual,Petrol,Individual,Second Owner,2014,35000,300000
337,tata indica,Manual,Petrol,Individual,First Owner,2002,40000,125000
338,maruti swift,Manual,Diesel,Individual,Second Owner,2015,60000,490000
339,toyota etios,Manual,Diesel,Individual,Second Owner,2012,50000,300000
340,tata nano,Manual,Petrol,Individual,Fourth & Above Owner,2013,25000,55000
341,hyundai grand,Manual,Petrol,Individual,First Owner,2016,25000,350000
342,hyundai grand,Manual,Diesel,Individual,First Owner,2019,8000,755000
343,maruti ertiga,Manual,Diesel,Individual,First Owner,2017,60000,720000
344,mahindra bolero,Manual,Diesel,Individual,Third Owner,2006,200000,229999
345,mahindra scorpio,Manual,Diesel,Individual,First Owner,2018,20000,1100000
346,volkswagen polo,Manual,Petrol,Individual,First Owner,2013,100000,400000
347,hyundai xcent,Manual,Diesel,Individual,Second Owner,2015,70000,350000
348,chevrolet beat,Manual,Diesel,Dealer,First Owner,2012,68000,159000
349,maruti swift,Manual,Petrol,Dealer,First Owner,2017,38000,550000
350,maruti ritz,Manual,Diesel,Dealer,First Owner,2013,80000,335000
351,tata indigo,Manual,CNG,Dealer,First Owner,2014,72000,185000
352,maruti eeco,Manual,CNG,Dealer,First Owner,2012,75000,229999
353,maruti estilo,Manual,Petrol,Dealer,First Owner,2014,43000,225000
354,maruti swift,Manual,Petrol,Individual,Second Owner,2007,120000,250000
355,tata zest,Manual,Diesel,Individual,First Owner,2015,100000,400000
356,maruti swift,Manual,Diesel,Individual,First Owner,2014,163000,470000
357,maruti alto,Automatic,Petrol,Individual,First Owner,2018,25000,300000
358,maruti alto,Manual,Petrol,Individual,First Owner,2011,25000,145000
359,maruti sx4,Manual,Petrol,Individual,Second Owner,2007,90000,100000
360,mahindra scorpio,Manual,Diesel,Individual,Second Owner,2014,70000,500000
361,hyundai santro,Manual,CNG,Individual,Second Owner,2010,98000,130000
362,chevrolet cruze,Manual,Diesel,Individual,First Owner,2010,81925,240000
363,ford figo,Manual,Diesel,Individual,Second Owner,2013,80000,150000
364,renault kwid,Manual,Petrol,Individual,First Owner,2017,40000,270000
365,maruti swift,Manual,Diesel,Individual,First Owner,2014,90000,400000
366,hyundai eon,Manual,Petrol,Individual,First Owner,2012,46000,200000
367,mahindra xuv500,Manual,Diesel,Individual,First Owner,2012,80000,550000
368,renault kwid,Manual,Petrol,Individual,First Owner,2018,35000,325000
369,skoda rapid,Automatic,Diesel,Individual,First Owner,2017,82080,860000
370,mahindra xuv500,Manual,Diesel,Individual,First Owner,2012,200000,600000
371,chevrolet spark,Manual,Petrol,Individual,First Owner,2009,70000,125000
372,maruti 800,Manual,Petrol,Individual,Third Owner,2000,40000,60000
373,chevrolet tavera,Manual,Diesel,Individual,Third Owner,2010,120000,300000
374,ford fiesta,Manual,Petrol,Individual,Third Owner,2007,60000,190000
375,maruti ertiga,Manual,Diesel,Individual,First Owner,2013,110000,400000
376,tata manza,Manual,Diesel,Individual,Second Owner,2011,97000,260000
377,maruti swift,Manual,Petrol,Individual,First Owner,2017,30000,400000
378,hyundai i20,Manual,Petrol,Individual,First Owner,2010,40000,250000
379,hyundai grand,Manual,Petrol,Individual,First Owner,2019,10000,600000
